timestamp,scenario,channel,attempt,mode,G_prev_uS,G_uS,G_target_uS,err_uS,rel_err,alpha,beta,scaling_factor,K,pw_scale,np_scale,stuck_counter,flip_damped,PW_s,NP,Amplitude_V
2025-12-16 10:39:31,set,1,15,inc,42.370276783468,,109.99999999999999,67.62972321653199,0.6148156656048364,2.0,0.5499999999999999,2.3,,,,,,0.0001,460,1.0
2025-12-16 10:39:33,set,1,15,read,42.370276783468,69.68441272483231,109.99999999999999,40.31558727516767,0.3665053388651607,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:33,set,1,16,inc,69.68441272483231,,109.99999999999999,40.31558727516767,0.3665053388651607,2.0,0.5499999999999999,0.79,,,,,,0.0001,158,1.0
2025-12-16 10:39:36,set,1,16,read,69.68441272483231,43.07479400258681,109.99999999999999,66.92520599741317,0.6084109636128472,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:36,set,1,17,inc,43.07479400258681,,109.99999999999999,66.92520599741317,0.6084109636128472,2.0,0.5499999999999999,1.31,,,,,,0.0001,262,1.0
2025-12-16 10:39:38,set,1,17,read,43.07479400258681,71.90442264725449,109.99999999999999,38.095577352745494,0.34632343047950453,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:38,set,1,18,inc,71.90442264725449,,109.99999999999999,38.095577352745494,0.34632343047950453,2.0,0.5499999999999999,0.75,,,,,,0.0001,150,1.0
2025-12-16 10:39:41,set,1,18,read,71.90442264725449,66.49722263498582,109.99999999999999,43.502777365014175,0.39547979422740165,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:41,set,1,19,inc,66.49722263498582,,109.99999999999999,43.502777365014175,0.39547979422740165,2.0,0.5499999999999999,1.58,,,,,,0.0001,316,1.0
2025-12-16 10:39:43,set,1,19,read,66.49722263498582,72.15946254549284,109.99999999999999,37.84053745450714,0.344004885950065,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:43,set,1,20,inc,72.15946254549284,,109.99999999999999,37.84053745450714,0.344004885950065,2.0,0.5499999999999999,1.4,,,,,,0.0001,280,1.0
2025-12-16 10:39:45,set,1,20,read,72.15946254549284,61.367042849930904,109.99999999999999,48.63295715006909,0.4421177922733554,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:48,set,1,0,inc,7.518645023312118,,109.99999999999999,102.48135497668788,0.9316486816062536,2.0,0.5499999999999999,2.0,,,,,,0.0001,400,1.0
2025-12-16 10:39:50,set,1,0,read,7.518645023312118,14.968939272525839,109.99999999999999,95.03106072747414,0.8639187338861287,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:50,set,1,1,inc,14.968939272525839,,109.99999999999999,95.03106072747414,0.8639187338861287,2.0,0.5499999999999999,2.46,,,,,,0.0001,492,1.0
2025-12-16 10:39:52,set,1,1,read,14.968939272525839,38.26790185527888,109.99999999999999,71.7320981447211,0.6521099831338283,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:52,set,1,2,inc,38.26790185527888,,109.99999999999999,71.7320981447211,0.6521099831338283,2.0,0.5499999999999999,1.4,,,,,,0.0001,280,1.0
2025-12-16 10:39:55,set,1,2,read,38.26790185527888,18.461517965270158,109.99999999999999,91.53848203472982,0.832168018497544,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:55,set,1,3,inc,18.461517965270158,,109.99999999999999,91.53848203472982,0.832168018497544,2.0,0.5499999999999999,1.79,,,,,,0.0001,358,1.0
2025-12-16 10:39:57,set,1,3,read,18.461517965270158,73.02509913983366,109.99999999999999,36.97490086016633,0.3361354623651485,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:57,set,1,4,inc,73.02509913983366,,109.99999999999999,36.97490086016633,0.3361354623651485,2.0,0.5499999999999999,0.72,,,,,,0.0001,144,1.0
2025-12-16 10:39:59,set,1,4,read,73.02509913983366,62.719527223678334,109.99999999999999,47.28047277632165,0.42982247978474236,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:59,set,1,5,inc,62.719527223678334,,109.99999999999999,47.28047277632165,0.42982247978474236,2.0,0.5499999999999999,0.92,,,,,,0.0001,184,1.0
2025-12-16 10:40:02,set,1,5,read,62.719527223678334,88.41152099533161,109.99999999999999,21.58847900466838,0.19625890004243982,,,,,,,,,0.0,0,0.0
2025-12-16 10:40:02,set,1,6,inc,88.41152099533161,,109.99999999999999,21.58847900466838,0.19625890004243982,2.0,0.5499999999999999,0.42,,,,,,0.0001,84,1.0
